Entity ID,vendor_code,remote_id,Branch Name,Integration Name,Chain ID,Chain Name,Delivery Type,Orders,Country
TB_KW,727363,1800122,"McDonald's, 1800122 Al Nasar Sports Club, Jaber Al Ahmad",Mcd Kuwait,676020,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604435,1800095,"McDonald's, ASWAQ AL QURAIN",Mcd Kuwait,601933,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50205,1800082,"McDonald's, Abu Halifa Gas Station 8 ",Mcd Kuwait,27930,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50199,1800007,"McDonald's, Al Qurain",Mcd Kuwait,27928,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,693122,1800109,"McDonald's, Al Soor",Mcd Kuwait,656994,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,751633,1800126,"McDonald's, Al Tadamon Sporting Club, Farwaniya",Mcd Kuwait,690119,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604425,1800102,"McDonald's, Al-Ahmadi",Mcd Kuwait,601923,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50217,1800024,"McDonald's, Bayan",Mcd Kuwait,27941,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50218,1800027,"McDonald's, Ferdous",Mcd Kuwait,27942,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604416,1800034,"McDonald's, Hadiya",Mcd Kuwait,601914,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,721177,1800121,"McDonald's, Jahra 6",Mcd Kuwait,672427,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604409,1800081,"McDonald's, Jahra Alfa Station 9 ",Mcd Kuwait,601907,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604415,1800071,"McDonald's, Jahra III",Mcd Kuwait,601913,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604420,1800093,"McDonald's, Khairan",Mcd Kuwait,601918,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,23702,1800065,"McDonald's, Mahboula -Platinum",Mcd Kuwait,11666,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604432,1800096,"McDonald's, National Guard - Fnaites",Mcd Kuwait,601930,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,697004,1800118,"McDonald's, R-118 Gas Station ",Mcd Kuwait,659082,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,712968,1800120,"McDonald's, R-120 NEW Dajeej",Mcd Kuwait,667441,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604433,1800058,"McDonald's, Reggai - R59",Mcd Kuwait,601931,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,49425,1800075,"McDonald's, Rehab",Mcd Kuwait,27585,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50197,1800078,"McDonald's, Sabah Al Salem",Mcd Kuwait,27927,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50196,1800039,"McDonald's, Siddiq",Mcd Kuwait,27926,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604424,1800114,"McDonald's, Sulaibikhat Club",Mcd Kuwait,601922,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50223,1800083,"McDonald's, Zahra COOP",Mcd Kuwait,27947,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50204,1800035,"McDonald's,Al-Qusour",Mcd Kuwait,27929,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604407,1800111,"McDonald`s , Jabriya",Mcd Kuwait,601905,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50222,1800069,"McDonald`s, Al-Liwan Mall Egaila",Mcd Kuwait,27946,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50207,1800085,"McDonald`s, Al-Masayel",Mcd Kuwait,27932,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50195,1800091,"McDonald`s, Andalous",Mcd Kuwait,27925,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50221,1800088,"McDonald`s, Ardhiya",Mcd Kuwait,27945,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50212,1800090,"McDonald`s, Ashbeliah",Mcd Kuwait,27937,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,691669,1800059,"McDonald`s, BAIRAQ MALL, Egaila",Mcd Kuwait,656128,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,684620,1800105,"McDonald`s, Dome Mall,Abu Halifa",Mcd Kuwait,652159,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50214,1800013,"McDonald`s, Fahaheel",Mcd Kuwait,27939,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50210,1800005,"McDonald`s, Farwaniya - R05",Mcd Kuwait,27935,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50220,1800084,"McDonald`s, Ferdous Park",Mcd Kuwait,27944,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604434,1800033,"McDonald`s, Jahra 2",Mcd Kuwait,601932,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604436,1800073,"McDonald`s, Jahra 4",Mcd Kuwait,601934,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,733008,1800124,"McDonald`s, Jahra 5",Mcd Kuwait,679275,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,43045,1800047,"McDonald`s, Kaifan",Mcd Kuwait,24158,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,663878,1800112,"McDonald`s, Kazmah Club",Mcd Kuwait,639770,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604417,1800050,"McDonald`s, LULU - Rai",Mcd Kuwait,601915,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50206,1800025,"McDonald`s, Magic Mall - Abu Halifa R25",Mcd Kuwait,27931,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,693117,1800061,"McDonald`s, R-61 SALMIYA 3,Salmiya",Mcd Kuwait,656989,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,677011,1800115,"McDonald`s, Sabah Al Ahmed",Mcd Kuwait,647521,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604429,1800074,"McDonald`s, Sabahiya Gas Station 115",Mcd Kuwait,601927,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,601473,1800086,"McDonald`s, Salmiya 5th Ring Road",Mcd Kuwait,600708,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,53816,1800055,"McDonald`s, Salmiya II",Mcd Kuwait,29098,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,50216,1800103,"McDonald`s, Salmiya Sahab",Mcd Kuwait,27940,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604408,1800089,"McDonald`s, Salwa",Mcd Kuwait,601906,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604437,1800056,"McDonald`s, Sharq COOP",Mcd Kuwait,601935,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604413,1800004,"McDonald`s, Shuwaikh-R04",Mcd Kuwait,601911,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,761051,1800052,"McDonald`s, Slayil Mall, Jahra - Jahra Area",Mcd Kuwait,695654,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604414,1800029,"McDonald`s, Sulaibikhat",Mcd Kuwait,601912,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604421,1800030,"McDonald`s, Surra",Mcd Kuwait,601919,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604427,1800110,"McDonald`s, TSC -Sulaibiya",Mcd Kuwait,601925,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604423,1800018,"McDonald`s, West Mishref",Mcd Kuwait,601921,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,687541,1800107,"McDonalds, Manara Mall",Mcd Kuwait,653883,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604430,1800060,"McDonalds, jleeb Alshuwiokh 2",Mcd Kuwait,601928,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604431,1800021,"Mcdonald`s, Ahmad Al-Jaber,",Mcd Kuwait,601929,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604419,1800046,"Mcdonald`s, Dabahiya - Umm Al Hayman",Mcd Kuwait,601917,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604410,1800003,"Mcdonald`s, Hawally 1",Mcd Kuwait,601908,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604426,1800070,"Mcdonald`s, Hawally II",Mcd Kuwait,601924,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604412,1800037,"Mcdonald`s, Khaitan",Mcd Kuwait,601910,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604411,1800017,"Mcdonald`s, Nuzha",Mcd Kuwait,601909,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,682246,1800116,"Mcdonald`s, Rumaithiya",Mcd Kuwait,650667,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604428,1800020,"Mcdonald`s, Shaab Co-Op",Mcd Kuwait,601926,McDonald's,OWN_DELIVERY,,Kuwait
TB_KW,604418,1800087,"Mcdonald`s, Sulaibiya-Al-Furda",Mcd Kuwait,601916,McDonald's,OWN_DELIVERY,,Kuwait
