Entity ID,vendor_code,remote_id,Branch Name,Integration Name,Chain ID,Chain Name,Delivery Type,Orders,Country
TB_AE,752418,296xbaeytg,"AMINIA RESTAURANT, Al Karama",Petpooja,690607,AMINIA RESTAURANT,OWN_DELIVERY,,UAE
TB_AE,727947,t902zu18,"ANJAPPAR DSO, Dubai Silicon Oasis",Petpooja,676326,ANJAPPAR DSO,OWN_DELIVERY,,UAE
TB_AE,745579,uks3aofgv4,"Aasife Biriyani,  Al Nahda 1 ",Petpooja,686613,Aasife Biriyani,OWN_DELIVERY,,UAE
TB_AE,25351,g9iv0jzr,"Anjappar, Discovery Gardens",Petpooja,13822,Anjappar Chettinad Indian Restaurant,OWN_DELIVERY,,UAE
TB_AE,762444,yd1269umxc,"Azad Hind Dhaba, Umm Suqeim 1",Petpooja,696584,Azad Hind Dhaba,OWN_DELIVERY,,UAE
TB_AE,44847,8356meyxfq,"Bhoujan Restaurant, Dubai Motor City",Petpooja,1300,Bhoujan,OWN_DELIVERY,,UAE
TB_AE,617533,xgiu7kqh,"Bombay Bites, Al Mankhool",Petpooja,610163,Bombay Bites,OWN_DELIVERY,,UAE
TB_AE,600666,w67v0u9q,"Bombay Food Factory, Abu Shagara",Petpooja,600323,Bombay Food Factory,OWN_DELIVERY,,UAE
TB_AE,690730,wp52cz84,"Bombay Times, Al Karama",Petpooja,655610,Bombay Times,OWN_DELIVERY,,UAE
TB_AE,731178,zqdhrk7a,Chocoberry London,Petpooja,678245,Chocoberry London,OWN_DELIVERY,,UAE
TB_AE,713907,8tmi2dns,"DOSA PLAZA, Umm Hurair",Petpooja,668013,DOSA PLAZA,OWN_DELIVERY,,UAE
TB_AE,738869,vukh561c,"Deebha Restaurant, Al Danah",Petpooja,682655,Deebha Restaurant,OWN_DELIVERY,,UAE
TB_AE,46040,16xckdb9,"Dindigul Thalappakatti Biriyani Restaurant, Al Karama",Petpooja,25858,Dindigul Thalappakatti Biriyani Restaurant,OWN_DELIVERY,,UAE
TB_AE,757019,us6ecjrw,"Godavari Andhra Restaurant, Abu Shagara",Petpooja,693201,Godavari Andhra Restaurant,OWN_DELIVERY,,UAE
TB_AE,740477,so3tnid0,"Gurukrupa, Al Karama",Petpooja,683584,Gurukrupa,OWN_DELIVERY,,UAE
TB_AE,740776,45v123he,"Gwalia Sweets and Restaurant, Al Karama",Petpooja,683747,Gwalia Sweets and Restaurant,OWN_DELIVERY,,UAE
TB_AE,756583,wby84k92np,"Gwalia Sweets and Restaurant, Jumeirah Lakes Towers - JLT",Petpooja,692940,Gwalia Sweets and Restaurant,OWN_DELIVERY,,UAE
TB_AE,751016,d03ovck8q2,"Iyer’s Premium Veg, Jumeirah Lakes Towers - JLT",Petpooja,689771,Iyer’s Premium Veg,OWN_DELIVERY,,UAE
TB_AE,734518,ehnyi3p5,"Junior Kuppanna, Al Karama",Petpooja,680118,Junior Kuppanna,OWN_DELIVERY,,UAE
TB_AE,743427,qwk6txoy,"KESHAV SWEETS & RESTAURANT, Al Mankhool",Petpooja,685322,KESHAV SWEETS & RESTAURANT,OWN_DELIVERY,,UAE
TB_AE,741495,zj8n3wv1,"Kesariya, Business Bay Sol Avenue",Petpooja,684202,Kesariya Restaurant ,OWN_DELIVERY,,UAE
TB_AE,739002,ozmprfwk1,Kukku Da Dhabha - Dubai Studio City,Petpooja,682729,Kukku Da Dhabha,OWN_DELIVERY,,UAE
TB_AE,738337,n0obzsqp1,"Kukku Da Dhabha, Al Karama",Petpooja,682316,Kukku Da Dhabha,OWN_DELIVERY,,UAE
