Entity ID,vendor_code,remote_id,Branch Name,Integration Name,Chain ID,Chain Name,Delivery Type,Orders,Country
TB_AE,52443,52443,"Affordabowls - Rice Bowls & Mashed Potato Bowls, Al Karama",TLBT-BySHWK-Plugin- DBC,28956,Affordabowls - Rice Bowls & Mashed Potato Bowls,OWN_DELIVERY,,UAE
TB_AE,52432,52432,"Amigovio - Mexican Burritos, Al Karama",TLBT-BySHWK-Plugin- DBC,28949,Amigovio - Mexican Burritos,OWN_DELIVERY,,UAE
TB_AE,52442,52442,"Bravo Avocado - Avocado Toast & Wraps, Karama",TLBT-BySHWK-Plugin- DBC,28955,Bravo Avocado - Avocado Toast & Wraps,OWN_DELIVERY,,UAE
TB_AE,602658,602658,"Chicken Strip Joint - Chicken Strips & Sliders, Al Karama",TLBT-BySHWK-Plugin- DBC,601271,Chicken Strip Joint - Chicken Strips & Sliders,OWN_DELIVERY,,UAE
TB_AE,52456,52456,"Danny Dog - Hot Dogs & Mac n Cheese, Al Karama",TLBT-BySHWK-Plugin- DBC,28969,Danny Dog - Hotdogs	,OWN_DELIVERY,,UAE
TB_AE,610986,610986,"Karma Shawarma - Beef & Chicken Saj, Al Karama",TLBT-BySHWK-Plugin- DBC,605973,Karma Shawarma - Beef & Chicken Saj,OWN_DELIVERY,,UAE
TB_AE,52434,52434,"Lovabowls - Healthy Meals, Al Karama",TLBT-BySHWK-Plugin- DBC,28950,Lovabowls - Healthy Meals,OWN_DELIVERY,,UAE
TB_AE,52455,52455,"Mac Edition - Mac N Cheese, Al Karama",TLBT-BySHWK-Plugin- DBC,28968,Mac Edition - Mac N Cheese,OWN_DELIVERY,,UAE
TB_AE,52452,52452,"Maya Blue - Quesadillas & Burritos, Al Karama",TLBT-BySHWK-Plugin- DBC,28965,Maya Blue - Quesadillas & Burritos,OWN_DELIVERY,,UAE
TB_AE,52444,52444,"Sandwich Lab - Sandwiches & Wraps, Al Karama",TLBT-BySHWK-Plugin- DBC,28957,Sandwich Lab - Sandwiches & Wraps,OWN_DELIVERY,,UAE
TB_AE,52439,52439,"Souperior - Soups & Sandwiches, Al Karama",TLBT-BySHWK-Plugin- DBC,28952,Souperior - Soups & Sandwiches,OWN_DELIVERY,,UAE
TB_AE,602655,602655,"Training Day – Healthy Salads & Warm Bowls, Al Karama",TLBT-BySHWK-Plugin- DBC,601268,Training Day – Healthy Salads & Warm Bowls,OWN_DELIVERY,,UAE
TB_AE,602648,602648,"Wingo - House Of Wings, Al Karama",TLBT-BySHWK-Plugin- DBC,601261,Wingo - House Of Wings,OWN_DELIVERY,,UAE
