Entity ID,vendor_code,remote_id,Branch Name,Integration Name,Chain ID,Chain Name,Delivery Type,Orders,Country
TB_AE,757305,T-e64066a8-9a19-415b-8cc3-294b1cefa352," Papa Johns (DH Kitchen) by Snap, Al Sufouh 2",TLBT iiko Plugin,693356, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,757301,T-9ebf46ff-fb8f-4217-8779-53f1db04c228," Papa Johns (DH Kitchen) by Snap, Shakhbout City",TLBT iiko Plugin,693356, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,759119,T-699001d5-a415-4c66-9ac9-b578aa4c291e," Papa Johns Pizza by Snap, Al Barsha 1",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,753370,TS-7399390d-a016-461e-9bd8-82f8d25c8b77," Papa Johns by Snap, Al Falah City",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,753371,TS-d99a087b-83cc-4148-bfc4-175d1c32b694," Papa Johns by Snap, Al Khawaneej 1",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,753376,TS-b7bce79b-fe81-4470-9b84-b2a7e3fea60e," Papa Johns by Snap, Al Rigga",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,753380,TS-0a3ff9c4-fdf0-418e-bd19-f21a2be7bac6," Papa Johns by Snap, Barsha Heights - TECOM",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,753373,TS-bd43543a-e2ac-4f77-9971-402fa8a74bea," Papa Johns by Snap, Dubai Hills",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,753375,TS-db969c05-fd67-4336-b853-353d509dd53b," Papa Johns by Snap, Dubai Marina",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
TB_AE,752156,TS-3a33c1b7-3eaa-4937-a6e5-149945e00631," Papa Johns by Snap, Jumeirah Village Circle - JVC",TLBT iiko Plugin,690425, Papa Johns by Snap,OWN_DELIVERY,,UAE
