Entity ID,vendor_code,remote_id,Branch Name,Integration Name,Chain ID,Chain Name,Delivery Type,Orders,Country
TB_AE,665632,18530,"Starbucks (Drive thru), Zayed City (Western Region)",TLBT-Qikserve,640811,Starbucks,OWN_DELIVERY,,UAE
TB_AE,704911,69823,Starbucks Al Warqa City Mall,TLBT-Qikserve,663069,Starbucks,OWN_DELIVERY,,UAE
TB_AE,755838,83860,"Starbucks Arabian Ranches 3,Arabian Ranches",TLBT-Qikserve,692483,Starbucks,OWN_DELIVERY,,UAE
TB_AE,755837,83585,"Starbucks Enoc 1622, Al Khawaneej,Al Khawaneej 2",TLBT-Qikserve,692482,Starbucks,OWN_DELIVERY,,UAE
TB_AE,665629,64923,Starbucks Forsan Central Mall,TLBT-Qikserve,640808,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661052,34346,Starbucks Knowledge Park,TLBT-Qikserve,637975,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661020,51596,"Starbucks by Snap, ADNOC Khalifa City",TLBT-Qikserve,637943,Starbucks by Snap,OWN_DELIVERY,,UAE
TB_AE,661021,15060,"Starbucks by Snap, Barsha Head Office",TLBT-Qikserve,637944,Starbucks by Snap,OWN_DELIVERY,,UAE
TB_AE,708676,48588,"Starbucks by Snap, Souq Extra ",TLBT-Qikserve,665133,Starbucks by Snap,OWN_DELIVERY,,UAE
TB_AE,661079,32029,"Starbucks,  Al Dafrah Blue Tower A",TLBT-Qikserve,638002,Starbucks,OWN_DELIVERY,,UAE
TB_AE,660991,49298,"Starbucks,  Mushrif Coop",TLBT-Qikserve,637914,Starbucks,OWN_DELIVERY,,UAE
TB_AE,672948,56902,"Starbucks,  Palm Jumeirah Mall",TLBT-Qikserve,645176,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661011,32269,"Starbucks, 21st Century Tower",TLBT-Qikserve,637934,Starbucks,OWN_DELIVERY,,UAE
TB_AE,766218,81778,"Starbucks, ADNOC 755, Al Shawamekh",TLBT-Qikserve,699010,Starbucks,OWN_DELIVERY,,UAE
TB_AE,660985,51595,"Starbucks, ADNOC Old Baniyas Club",TLBT-Qikserve,637908,Starbucks,OWN_DELIVERY,,UAE
TB_AE,669257,61824,"Starbucks, Adnoc Business Centre Drive Thru",TLBT-Qikserve,643078,Starbucks,OWN_DELIVERY,,UAE
TB_AE,668150,48257,"Starbucks, Adnoc Mahawi Drive Thru",TLBT-Qikserve,642418,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661075,28810,"Starbucks, Adnoc Mushrif",TLBT-Qikserve,637998,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661085,52293,"Starbucks, Ajman City Center",TLBT-Qikserve,638008,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661010,29560,"Starbucks, Ajman Corniche",TLBT-Qikserve,637933,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661016,22331,"Starbucks, Ajman Drive Thru",TLBT-Qikserve,637939,Starbucks,OWN_DELIVERY,,UAE
TB_AE,717217,70757,"Starbucks, Akoya Damac Hills 2",TLBT-Qikserve,669968,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661059,29306,"Starbucks, Al Ain Ladies Club",TLBT-Qikserve,637982,Starbucks,OWN_DELIVERY,,UAE
TB_AE,660972,16257,"Starbucks, Al Ain Mall",TLBT-Qikserve,637895,Starbucks,OWN_DELIVERY,,UAE
TB_AE,663462,17127,"Starbucks, Al Ain Tower",TLBT-Qikserve,639494,Starbucks,OWN_DELIVERY,,UAE
TB_AE,660970,29562,"Starbucks, Al Ain Zoo",TLBT-Qikserve,637893,Starbucks,OWN_DELIVERY,,UAE
TB_AE,704908,68961,"Starbucks, Al Amsaf Mall",TLBT-Qikserve,663066,Starbucks,OWN_DELIVERY,,UAE
TB_AE,719555,70935,"Starbucks, Al Anwar Street, Mohammed Bin Zayed City",TLBT-Qikserve,671421,Starbucks,OWN_DELIVERY,,UAE
TB_AE,672787,15976,"Starbucks, Al Barsha Mall",TLBT-Qikserve,645082,Starbucks,OWN_DELIVERY,,UAE
TB_AE,691564,69822,"Starbucks, Al Barsha South Mall",TLBT-Qikserve,656077,Starbucks,OWN_DELIVERY,,UAE
TB_AE,660979,20772,"Starbucks, Al Falah",TLBT-Qikserve,637902,Starbucks,OWN_DELIVERY,,UAE
TB_AE,711666,77752,"Starbucks, Al Falah Mall, Al Falah City",TLBT-Qikserve,666793,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661065,50245,"Starbucks, Al Garhoud",TLBT-Qikserve,637988,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661042,32328,"Starbucks, Al Ghadeer Tower",TLBT-Qikserve,637965,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661089,34219,"Starbucks, Al Ghurair Centre",TLBT-Qikserve,638012,Starbucks,OWN_DELIVERY,,UAE
TB_AE,682312,68873,"Starbucks, Al Jada",TLBT-Qikserve,650723,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661080,63633,"Starbucks, Al Khawaneej Walk",TLBT-Qikserve,638003,Starbucks,OWN_DELIVERY,,UAE
TB_AE,679240,68999,"Starbucks, Al Maqtaa Mall",TLBT-Qikserve,648823,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661009,3172,"Starbucks, Al Naeem City Center",TLBT-Qikserve,637932,Starbucks,OWN_DELIVERY,,UAE
TB_AE,721930,81384,"Starbucks, Al Nahda Mall, Al Nahda",TLBT-Qikserve,672829,Starbucks,OWN_DELIVERY,,UAE
TB_AE,665631,67330,"Starbucks, Al Nahyan",TLBT-Qikserve,640810,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661004,29651,"Starbucks, Al Otaibi",TLBT-Qikserve,637927,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661073,24931,"Starbucks, Al Raha Gardens - Madinat Khalifa-A",TLBT-Qikserve,637996,Starbucks,OWN_DELIVERY,,UAE
TB_AE,667470,67787,"Starbucks, Al Rahmania",TLBT-Qikserve,642029,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661000,49327,"Starbucks, Al Reef",TLBT-Qikserve,637923,Starbucks,OWN_DELIVERY,,UAE
TB_AE,665633,23197,"Starbucks, Al Ruwais Mall, Al Ruwais",TLBT-Qikserve,640812,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661076,65075,"Starbucks, Al Safa Park",TLBT-Qikserve,637999,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661032,20008,"Starbucks, Al Seef Mall",TLBT-Qikserve,637955,Starbucks,OWN_DELIVERY,,UAE
TB_AE,711100,67391,"Starbucks, Al Suyoh Mall, Al Seyouh",TLBT-Qikserve,666442,Starbucks,OWN_DELIVERY,,UAE
TB_AE,672786,21600,"Starbucks, Al Twar 2",TLBT-Qikserve,645081,Starbucks,OWN_DELIVERY,,UAE
TB_AE,679514,55296,"Starbucks, Al Wadi Park",TLBT-Qikserve,648993,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661023,31719,"Starbucks, Al Wahda Mall",TLBT-Qikserve,637946,Starbucks,OWN_DELIVERY,,UAE
TB_AE,673268,63443,"Starbucks, Al Wasl Drive Thru",TLBT-Qikserve,645356,Starbucks,OWN_DELIVERY,,UAE
TB_AE,676697,68072,"Starbucks, Al Zeina",TLBT-Qikserve,647347,Starbucks,OWN_DELIVERY,,UAE
TB_AE,724740,34217,"Starbucks, American University of Sharjah,University of Sharjah",TLBT-Qikserve,674505,Starbucks,OWN_DELIVERY,,UAE
TB_AE,660995,3173,"Starbucks, Arabian Centre",TLBT-Qikserve,637918,Starbucks,OWN_DELIVERY,,UAE
TB_AE,682313,69043,"Starbucks, Avenues Mall",TLBT-Qikserve,650724,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661041,15938,"Starbucks, Bawabat Al Sharq Mall, Bani Yas",TLBT-Qikserve,637964,Starbucks,OWN_DELIVERY,,UAE
TB_AE,661003,1926,"Starbucks, Bawadi Mall",TLBT-Qikserve,637926,Starbucks,OWN_DELIVERY,,UAE
