Entity ID,vendor_code,remote_id,Branch Name,Integration Name,Chain ID,Chain Name,Delivery Type,Orders,Country
TB_KW,728307,e2133aa4-ed53-44d6-915f-566c54f2d2cf,"Amiti Noura, Avenues, Rai",Wi-Q,676495,Amiti Noura,OWN_DELIVERY,,Kuwait
TB_KW,691870,146e12a4-6b5e-43e9-bcef-d0c9cf8e7deb,"Amiti Noura, Sabah Al-Salem",Wi-Q,656239,Amiti Noura,OWN_DELIVERY,,Kuwait
TB_KW,655072,e19c253d-0fa1-4f37-8e67-e067ad04ecd9,"Asha's, Benied Al Qar",Wi-Q,634161,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,684994,5ee1216a-e218-40cd-b37e-acb6e86f02d8,"Asha's, Jabriya",Wi-Q,652410,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,655077,f703e88b-1e09-48ba-af69-ac21a1096c8d,"Asha's, Mahboula",Wi-Q,634166,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,655070,5c8fd184-415e-41ab-aa33-e29fc9790032,"Asha's, Salmiya Boulevard",Wi-Q,634159,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,655079,28c1f0e0-44aa-4e22-bc89-82265790ccb1,"Asha`s, Jahra HUB",Wi-Q,634168,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,764232,fea06fe5-6348-40cf-8df3-30477b31414c,"Asha`s, Sabah Al-Salem",Wi-Q,697760,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,655076,f2cc477c-61ad-40c3-9dfa-16db1cdc3d89,"Asha`s, Zahra, 360 Mall, Zahra",Wi-Q,634165,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,706248,4724f680-a853-4434-996c-5176189817d2,"Ashas, Ardhiya, (DH Kitchen), Ardiya",Wi-Q,663768,Asha's,OWN_DELIVERY,,Kuwait
TB_KW,600881,ce40b35b-4313-4608-a17f-a188acc973c0,"Costa Coffee, ,Reggai",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,738157,4faa8663-eebb-463f-ab9f-1e2c4b702ba4,"Costa Coffee, Abu Ftaira",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,45527,e9d6a040-e1b6-460c-8c59-1c094abd2270,"Costa Coffee, Abu Hasaniya",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,628200,02d54b24-bb4d-4136-9dc9-18f59e79c971,"Costa Coffee, Al-Ahmadi",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,28581,1b139617-8db3-424f-bff0-5950f259a410,"Costa Coffee, Al-Bedae",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,684318,3da0ec0f-728d-4056-84da-1024b6fc6dbd,"Costa Coffee, Al-Qurain",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,600882,495c02c5-5c11-429d-a850-4e8987b12fc3,"Costa Coffee, Ardhiya",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,28580,bfd41f43-b21d-48ca-a980-0d17098cdd85,"Costa Coffee, Dasma",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,628199,a9ae718b-693d-4dd9-b7a0-057aa476c89c,"Costa Coffee, Egaila",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,28575,b44b5c03-c73f-4635-bbfd-7c5e5a6e717c,"Costa Coffee, Hawally",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,51244,2d2af1d1-1c3e-4ccd-ad96-c53757a8a624,"Costa Coffee, Hawally tgo The Story",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,639854,4de7dbf0-d032-4781-98c2-9fc7d53ecd75,"Costa Coffee, Jabriya",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,51242,8c2734ce-ad11-479a-b806-1db6193a1f04,"Costa Coffee, Jahra - Jahra Mikhyall Mall",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,28572,5c250ee8-132e-4d0a-a3ff-75bdeb2f048d,"Costa Coffee, Kaifan",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,692867,8021ad3a-0ffb-4ab6-b86b-bd0313c46078,"Costa Coffee, Khairan square",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,692865,b8b9da9a-c285-4018-86c6-6b3f99357ae6,"Costa Coffee, Kuwait City",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,28576,2c8fc786-6f9e-4c76-8a88-d273b78130a2,"Costa Coffee, Mahaboula Coast",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,684052,bd765061-50b4-4499-bbff-4d5490118876,"Costa Coffee, Rai",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,676827,7187d7e1-e947-43ab-b4c0-13e3fbc09e85,"Costa Coffee, Sabah Al Ahmad 1",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,649181,728b82fe-613a-4774-b3c8-0845502446e3,"Costa Coffee, Sabah Al Salem",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,51240,fb49ecdf-260f-4a9f-abe9-bfedfd3dca85,"Costa Coffee, Salmiya tgo Dalal Complex",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,32590,052a45fb-e270-48a6-ab99-6c631634a5c1,"Costa Coffee, Shaab",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,730375,28962158-c36a-4276-85cd-5e1a9dba6928,"Costa Coffee, Siddiq",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,692875,2d46f3dd-2e99-4882-b127-d1903e23e0d4,"Costa Coffee, Slayel Jahra,Jahra - Jahra Area",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,684320,4c14fbcb-966f-4f90-94ed-bb1f91b8efc9,"Costa Coffee, Wafra ",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,740974,8a9fe6ae-dfea-4e58-9042-bbb2ff3a5fb9,"Costa Coffee, Yall Mall, Fahaheel",Wi-Q,683869,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,733636,4141f805-69ae-4fd5-986b-9177f5f0a936,"Costa Coffee, Zahra",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,35667,38898b7f-aa87-4acb-89fb-5e28637e11e6,"Costa Coffee, mangaf Alkout med tgo",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,692873,55e66131-12a7-4548-b5a1-6a075ac9d8a7,"Costa Coffee,Bairaq Mall Egaila",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,692871,cad27f96-488a-45f1-902b-748dfdac0b6f,"Costa Coffee,Homz Mall- Dajeej",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,684064,9c3b14b7-3439-485a-9499-1ad660712949,"Costa Coffee,Sheikha Complex1 Salmiya",Wi-Q,16128,Costa Coffee,OWN_DELIVERY,,Kuwait
TB_KW,706153,5513c941-5bfe-4e55-85cf-4690c0b0ce35,"Elevation Burger, Abu Ftaira",Wi-Q,663722,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706152,190b9362-b781-4c2a-bcc3-82d89fd97388,"Elevation Burger, Abu Halifa",Wi-Q,663721,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706161,d10fa58e-2864-4dd3-b711-05076da5145c,"Elevation Burger, Al Masayel",Wi-Q,663730,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706156,5044241e-93f6-41a4-97cc-d95ffdb50851,"Elevation Burger, Al-Bedae",Wi-Q,663725,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706155,c32efc49-b389-4c9e-9383-15b3637945fe,"Elevation Burger, Ardhiya",Wi-Q,663724,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,747960,335a99e5-fea7-436f-a6cc-cc39df85c611,"Elevation Burger, Bnaider",Wi-Q,687978,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706158,b449f025-fd64-46ae-a468-3e82fd73f810,"Elevation Burger, Jabriya",Wi-Q,663727,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706159,7b6718ad-9cb7-4e65-ac67-537d02914caa,"Elevation Burger, Jahra - Jahra Area",Wi-Q,663728,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706160,7c688a96-d555-489d-ad8d-c2570b0a94bf,"Elevation Burger, Kaifan",Wi-Q,663729,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,758888,5ca69918-6e2f-4e08-8fe4-5577c191a178,"Elevation Burger, Khairan",Wi-Q,694332,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706162,0372d42d-bd3b-4e2f-946d-820f5c0fac15,"Elevation Burger, Mishref",Wi-Q,663731,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706157,430567bc-8a78-44ff-bf00-36ff4a7ea7fc,"Elevation Burger, Promenade",Wi-Q,663726,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706164,2350567d-6423-4c7f-84b4-46225e2906cf,"Elevation Burger, Qortuba",Wi-Q,663733,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,706166,bb146212-ad33-4f07-89a3-f0166115dab9,"Elevation Burger, Sulaibhikat",Wi-Q,663735,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,721975,b6817fe6-02bf-4342-bff2-ed5966858ff7,"Elevation Burger, Warehouse Mall",Wi-Q,672859,Elevation Burger,OWN_DELIVERY,,Kuwait
TB_KW,623668,cba369fa-3cc7-464e-9c1b-52c03994bd3d,"Faia, Hawally",Wi-Q,614597,Faia,OWN_DELIVERY,,Kuwait
