Region,Entity ID,vendor_code,Delivery Type,remote_id,Branch Name,Integration Name,Integration Flow,Chain ID,Chain Name,Activation date,GMV(eur),orders,MENU API (request),Menu API(done),Menu API(failed)
mena,TB_KW,677011,OWN_DELIVERY,1800115,"McDonald`s, Sabah Al Ahmed",Mcd Kuwait,INDIRECT,647521,McDonald's,"Jul 27, 2022",343503.75,26192,126,125,1
mena,TB_KW,604416,OWN_DELIVERY,1800034,"McDonald's, Hadiya",Mcd Kuwait,INDIRECT,601914,McDonald's,"Aug 27, 2020",308620.22,23602,148,142,6
mena,TB_AE,690392,OWN_DELIVERY,1840137,"McDonald's, Makani Al Shamkha Mall, Al Shamkha",Mcd UAE,INDIRECT,655419,McDonald's,"Oct 19, 2022",271647.78,17933,174,174,0
mena,TB_KW,604415,OWN_DELIVERY,1800071,"McDonald's, Jahra III",Mcd Kuwait,INDIRECT,601913,McDonald's,"Sep 2, 2020",255613.31,19135,12,11,1
mena,TB_AE,630870,OWN_DELIVERY,1840059,"McDonald's, Oud Al Muteena",Mcd UAE,INDIRECT,619526,McDonald's,"Feb 8, 2021",255109.08,18281,40,40,0
mena,TB_KW,717074,OWN_DELIVERY,41f3e0b5-29c1-4940-94d1-e3b7611869e3,"FroŸo, Ardhiya",TLBT GrubTech Plugin,DIRECT,712,FroYo,"Nov 22, 2023",239542.18,12867,null,null,null
mena,TB_KW,604414,OWN_DELIVERY,1800029,"McDonald`s, Sulaibikhat",Mcd Kuwait,INDIRECT,601912,McDonald's,"Aug 27, 2020",230616.17,17627,79,75,4
mena,TB_KW,721943,OWN_DELIVERY,03f45550-1f4c-4335-98a9-65a33b13ceb8,"FroŸo, Al-Qurain tgo",TLBT GrubTech Plugin,DIRECT,712,FroYo,"Jan 17, 2024",230189.3,11765,null,null,null
mena,TB_KW,604418,OWN_DELIVERY,1800087,"Mcdonald`s, Sulaibiya-Al-Furda",Mcd Kuwait,INDIRECT,601916,McDonald's,"Sep 2, 2020",230004.42,17719,110,109,1
mena,TB_KW,604424,OWN_DELIVERY,1800114,"McDonald's, Sulaibikhat Club",Mcd Kuwait,INDIRECT,601922,McDonald's,"Sep 8, 2020",223681.13,17220,41,39,2
mena,TB_KW,5810,VENDOR_DELIVERY,KFC_KWT_501,"KFC, Saad Al Abdullah tmp",Tlbt-Americana-Digital,DIRECT,6,KFC,"Jul 17, 2015",223088.46,16774,null,null,null
mena,TB_KW,604409,OWN_DELIVERY,1800081,"McDonald's, Jahra Alfa Station 9 ",Mcd Kuwait,INDIRECT,601907,McDonald's,"Aug 27, 2020",220110.41,16974,148,146,2
mena,TB_AE,712565,OWN_DELIVERY,1840230,"McDonald's, Emarat Al Qarayen 2",Mcd UAE,INDIRECT,667237,McDonald's,"Sep 10, 2023",215412.79,14456,27,27,0
mena,TB_KW,738852,OWN_DELIVERY,0e708ce3-ff8d-47af-a97d-3b21c0a433a3,"Raising Cane`s, Sabah Al-Salem",Wi-Q,DIRECT,682646,Raising Cane's,"Sep 29, 2024",214983.14,12555,4,4,0
mena,TB_KW,604423,OWN_DELIVERY,1800018,"McDonald`s, West Mishref",Mcd Kuwait,INDIRECT,601921,McDonald's,"Sep 2, 2020",212281.3,16007,138,134,4
mena,TB_KW,767030,OWN_DELIVERY,tgo-141930,"Wingstop, salwa",TLBT UrbanPiper Plugin,DIRECT,699509,Wingstop,"Jun 15, 2025",211782.27,9290,null,null,null
mena,TB_AE,761605,OWN_DELIVERY,1840250,"McDonald's, ADNOC Khalifa City North, Masdar City",Mcd UAE,INDIRECT,696030,McDonald's,"Apr 27, 2025",209626.94,14521,82,82,0
mena,TB_KW,50196,OWN_DELIVERY,1800039,"McDonald's, Siddiq",Mcd Kuwait,INDIRECT,27926,McDonald's,"Apr 20, 2020",205942.06,15781,114,112,2
mena,TB_KW,696668,OWN_DELIVERY,3d418d3d-069b-4a5c-909a-0d263739f052,"Raising Cane's, Sabah Al-Nasser, Ardhiya",Wi-Q,DIRECT,658917,Raising Cane's,"Jan 11, 2023",202329.37,12847,4,4,0
mena,TB_KW,773522,OWN_DELIVERY,a9a287b2acf42da244c75b2ca6e9312b7d9b43d60f016a40f019d7a77338381a01dc3f4ce9d7a0cd7719cd9f80ab495a,"ALBAIK, Jahra - Jahra Area",Tlbt-Posist,DIRECT,703457,ALBAIK,"Aug 17, 2025",199571.57,15677,null,null,null
mena,TB_KW,50199,OWN_DELIVERY,1800007,"McDonald's, Al Qurain",Mcd Kuwait,INDIRECT,27928,McDonald's,"Aug 27, 2020",198606.06,14961,166,162,4
